folder_id,real_filename,meeting_date,meeting_name,belongs_to
B4YMGE5AF96F,Work Session BBHCSD_Investor Orders and Allotments.pdf,24/09/2018,Work Session 6 p.m. and Regular Meeting 7 p.m.,Bond Discussion
B6PJVK4EE2D5,Classified 11_19_18 Updated.pdf,19/11/2018,Regular Meeting,Classified Recommendations
B43HFY47D280,Supplemental Recommendations 8-27-2018.pdf,27/08/2018,Regular Meeting,Supplemental Recommendations
B43HGQ47F7AE,Monarch School Contract.pdf,27/08/2018,Regular Meeting,Monarch School Contract
B43HH4482967,Minutes 8-06-18.pdf,27/08/2018,Regular Meeting,"Minutes of the August 6, 2018, Meeting"
B43HG747E754,PSI 2018-2019 Assumption contract only.pdf,27/08/2018,Regular Meeting,Auxiliary Services Agreement ~ PSI
B43HFM47B576,Classified Recommendations 8_27_18.pdf,27/08/2018,Regular Meeting,Classified Recommendations
B7FSDB620BF0,Minutes 11-19-18 & 12-10-18.pdf,17/12/2018,Regular Meeting,"Minutes of the November 19, 2018 and December 10, 2018, Board Meetings"
AZA2QM608655,checkmark.jpg,,,
AZA2KC601EBA,BBHCSD.jpg,,,
B3VFXE4F48DF,box.jpg,,,
B43HGJ47F194,Settlement Agreement.pdf,27/08/2018,Regular Meeting,Settlement Agreement
B43HG547DF03,Donations 8-27-2018.pdf,27/08/2018,Regular Meeting,Donations
B43HA647809F,Certificated Recommendation 8_27_18 (4).pdf,27/08/2018,Regular Meeting,Certified Recommendations
B43HGY48036B,Financial Report July 2018 (1).pdf,27/08/2018,Regular Meeting,"Financial Report, July 2018"
B5GNSA5F21AC,Complimentary Passes.pdf,22/10/2018,Regular Meeting 7 p.m. (Executive Session 6:30 p.m.),Complimentary Passes
B84483802168,Tax Budget 2020.pdf,03/01/2019,Organizational Meeting,Alternative Tax Budget Fiscal Year 2020
B4XGR444FFCB,Financial Report August 2018.pdf,24/09/2018,Work Session 6 p.m. and Regular Meeting 7 p.m.,"Financial Report, August 2018"
B4XGMR44824C,Certificated 9_24_18 (1) R.pdf,24/09/2018,Work Session 6 p.m. and Regular Meeting 7 p.m.,Certified Recommendations
B4YMGT5B0AF4,CVCC Work session discussion points 9.24.2018.pptx,24/09/2018,Work Session 6 p.m. and Regular Meeting 7 p.m.,CVCC Discussion
B4XGPG44C33C,Black Box MOA clean 09-20-18 (1).pdf,24/09/2018,Work Session 6 p.m. and Regular Meeting 7 p.m.,District Telephone Contract ~ NEC Black Box
B4XGNB449735,Supplemental Recs 9-24-2018 R.pdf,24/09/2018,Work Session 6 p.m. and Regular Meeting 7 p.m.,Supplemental Recommendations
B4XGP544B5FB,2018-2019  HS Tech Insurance.pdf,24/09/2018,Work Session 6 p.m. and Regular Meeting 7 p.m.,2018-2019 High School Grade 9 Technology Insurance Fee
B4XGNT44AAD7,Rapkin Contract 2018-2019.pdf,24/09/2018,Work Session 6 p.m. and Regular Meeting 7 p.m.,Myles Rapkin Contract Services Agreement
B4WLY8585BED,2015-2018 State Assessment Data.pdf,24/09/2018,Work Session 6 p.m. and Regular Meeting 7 p.m.,
B4XGQB44E35F,Donation 9-24-2018.pdf,24/09/2018,Work Session 6 p.m. and Regular Meeting 7 p.m.,Donation
B4XGQ344D7A4,Order Form - NEC  3yr SWA PD.pdf,24/09/2018,Work Session 6 p.m. and Regular Meeting 7 p.m.,District Telephone Contract ~ NEC Black Box
B4YMF25AA244,2015-2018 State Data.pdf,24/09/2018,Work Session 6 p.m. and Regular Meeting 7 p.m.,State Report Card Presentation ~ Dr. David Martin
